Fund name,,Expense ratio,Risk potential,,
,,,,,
,,"(per $1,000)",,,
Target Date Funds,,,,,
,Target Retirement Income Trust II,,,,
,— | 1471,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2020 Trust II,,,,
,— | 1474,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2025 Trust II,,,,
,— | 1475,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2030 Trust II,,,,
,— | 1476,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2035 Trust II,,,,
,— | 1477,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2040 Trust II,,,,
,— | 1478,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2045 Trust II,,,,
,— | 1479,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2050 Trust II,,,,
,— | 1480,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2055 Trust II,,,,
,— | 1489,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2060 Trust II,,,,
,— | 1693,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2065 Trust II,,,,
,— | 1794,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
,Target Retirement 2070 Trust II,,,,
,— | V006,,,,
,,,,,
,,,,,
0.08%,,,,,
,,,,,
($0.75),,,,,
Core Menu,,,,,
,Dodge & Cox International Stock Fund Class X,,,,
,DOXFX | N019,,,,
,,,,,
,,,,,
0.57%,Data unavailable,,,,
,—,,,,
($5.70),,,,,
,DFA U.S. Targeted Value Portfolio Institutional Class,,,,
,DFFVX | 2977,,,,
,,,,,
,,,,,
0.30%,Data unavailable,,,,
,—,,,,
($3.00),,,,,
,Fidelity Emerging Markets Fund - Class K,,,,
,FKEMX | N088,,,,
,,,,,
,,,,,
0.74%,Data unavailable,,,,
,—,,,,
($7.40),,,,,
,Fidelity Small Cap Growth K6 Fund,,,,
,FOCSX | N021,,,,
,,,,,
,,,,,
0.61%,Data unavailable,,,,
,—,,,,
($6.10),,,,,
,MFS Growth Equity Fund CL S,,,,
,— | 8405,,,,
,,,,,
,,,,,
0.34%,Data unavailable,,,,
,—,,,,
($3.40),,,,,
,PIMCO Total Return Fund Institutional Class,,,,
,PTTRX | 3769,,,,
,,,,,
,,,,,
0.53%,Data unavailable,,,,
,—,,,,
($5.30),,,,,
,Reliance MetLife Series 25053 Cl 0,,,,
,— | 6168,,,,
,,,,,
,,,,,
0.52%,Data unavailable,,,,
,—,,,,
($5.20),,,,,
,Vanguard Emerging Markets Stock Index Fund Admiral Shares,,,,
,VEMAX | 5533,,,,
,,,,,
,,,,,
0.13%,,,,,
,,,,,
($1.30),,,,,
,Vanguard Extended Market Index Fund Institutional Shares,,,,
,VIEIX | 0856,,,,
,,,,,
,FUND I OWN,,,,
,,,,,
0.04%,,,,,
,,,,,
($0.40),,,,,
,Vanguard Institutional Index Fund Institutional Shares,,,,
,VINIX | 0094,,,,
,,,,,
,,,,,
0.04%,,,,,
,,,,,
($0.35),,,,,
,Vanguard Total International Stock Index Fund Institutional Shares,,,,
,VTSNX | 1869,,,,
,,,,,
,,,,,
0.06%,,,,,
,,,,,
($0.60),,,,,
,Vanguard Total Bond Market Index Fund Institutional Shares,,,,
,VBTIX | 0222,,,,
,,,,,
,FUND I OWN,,,,
,,,,,
0.03%,,,,,
,,,,,
($0.25),,,,,
,Vanguard Windsor II Fund Admiral Shares,,,,
,VWNAX | 0573,,,,
,,,,,
,,,,,
0.24%,,,,,
,,,,,
($2.40),,,,,
Enhanced Core Menu,,,,,
,DFA Global Real Estate Securities Portfolio,,,,
,DFGEX | 6220,,,,
,,,,,
,,,,,
0.29%,Data unavailable,,,,
,—,,,,
($2.90),,,,,
,The Hartford Strategic Income Fund Class R6,,,,
,HSNVX | 8395,,,,
,,,,,
,,,,,
0.53%,Data unavailable,,,,
,—,,,,
($5.30),,,,,
,PIMCO CommodityRealReturn Strategy Fund Institutional Class,,,,
,PCRIX | 3029,,,,
,,,,,
,,,,,
0.98%,Data unavailable,,,,
,—,,,,
($9.80),,,,,
,Vanguard FTSE Social Index Fund Admiral Shares,,,,
,VFTAX | 0513,,,,
,,,,,
,,,,,
0.11%,,,,,
,,,,,
($1.10),,,,,
Sector Funds,,,,,
,T. Rowe Price International Discovery Fund I Class,,,,
,TIDDX | 6804,,,,
,,,,,
,,,,,
1.08%,Data unavailable,,,,
,—,,,,
($10.80),,,,,
